,AreaName,AvgPrice,Latitude,Longitude,PinCode,District
445,Vasant Vihar C Block,40000,28.567879,77.15832,110057,New Delhi District
446,Batla House New Delhi,376.92,28.567446,77.286619,110025,South East Delhi District
447,Block Ap Poorvi Pitampura,13257.08,28.703266,77.140724,110034,North West District
448,Chandni Chowk,8230.45,28.655159,77.233645,110006,Central District
449,Fatehpurberi,8869.05,28.632694,77.21966,,New Delhi District
450,Govindpuri Extension New Delhi,4166.67,28.534117,77.258786,110019,South East Delhi District
451,Ishwar Nagar,11666.67,28.559345,77.267956,110065,South East Delhi District
452,Jahangir Puri,6709.35,28.72562,77.182357,110033,North District
453,Khanpur Colony,4100,28.509519,77.230424,110062,South District
454,Naharpur Village,2777.78,28.703462,77.115124,110085,North West District
455,Pankha Road,6000,28.608029,77.103424,110046,South West District
456,Pocket 7 Dwarka Sector 12,8536.63,28.591314,77.043701,110078,South West District
457,Sector 11,9190.97,28.73339,77.109005,110085,North West District
458,Sector 12,13166.78,28.728298,77.122771,110085,North District
459,Sector C Vasant Kunj,40625,28.534377,77.145972,110070,South District
460,Sitapuri,4444.44,28.607997,77.075381,110059,South West District
461,Sonepat,3390.63,28.632694,77.21966,,
462,Surajmal Vihar,21666.67,28.661599,77.305985,110092,Shahdara District
463,Ali Village,6976.74,28.516516,77.308501,110076,South East Delhi District
464,Burari Garhi,4817.3,28.755099,77.199031,110084,Central District
465,Ca Apartments,109.74,28.671059,77.102869,110063,West District
466,Chandra Park,3902.11,28.610899,77.032639,110078,South West District
467,Daryaganj,9272.73,28.643996,77.241073,110002,Central District
468,Freedom Fighter Vihar,5000,28.510955,77.202062,110068,South District
469,Gazipur,10540.11,28.633403,77.318143,110096,East District
470,Hauz Rani,3571.43,28.528977,77.2094,110017,South District
471,Hill View,18416.67,28.575996,77.123512,110010,New Delhi District
472,Kanjhawla,3471.55,28.632694,77.21966,,New Delhi District
473,Karawal Nagar,2666.67,28.725454,77.268624,110094,North East District
474,Mehrauli Village,3870.36,28.521341,77.179337,110030,South District
475,Munirka Kunj Main Road,1395.24,28.553441,77.174918,110067,New Delhi District
476,Palam Vihar,9152.54,28.580917,77.088389,110045,South West District
477,R K Puram,29411.76,28.59833,77.094487,110045,South West District
478,Ram Nagar Extension,5555.56,28.654776,77.282714,110051,Shahdara District
479,Rithala,4550,28.718672,77.100659,110085,North West District
480,Sector 10,8919.76,28.725049,77.114447,110085,North District
481,Sector 4 Road,1017.2,28.524277,77.228379,110017,South District
482,Sector 6,7889,28.579063,77.167392,110021,New Delhi District
483,Sector-16 Dwarka,4250,28.59772,77.057337,110075,South West District
484,Sector-19 Rohini,11531.25,28.734704,77.142842,110042,North District
485,Sector-21 Rohini,7865.38,28.713045,77.067062,110086,North West District
486,Sfs Flats Saket,13571.43,28.523848,77.206773,110017,South District
487,Sidharth Ext,12727.27,28.579252,77.255716,110014,South East Delhi District
488,Sultanpur Extension,3969.7,28.496868,77.164988,110030,South District
489,10 Dwaraka Marg,8428.9,28.59853,77.087924,110045,South West District
490,59 Sector 22 Road,12975.78,28.723309,77.059448,110086,North West District
491,A1 Block Paschim Vihar Delhi,10952.38,28.669306,77.093265,110063,West District
492,Bamnoli Village Delhi,5000,28.545682,77.031618,110077,South West District
493,Block J Rajouri Garden Extension,12923.08,28.64009,77.114278,110027,West District
494,Budh Nagar,7777.78,28.635105,77.142724,110012,New Delhi District
495,Dhul Siras,4375,28.549419,77.03127,110077,South West District
496,Dlf Phase 5,12375.48,28.628811,77.049516,110059,West District
497,Dps Matiyala,8750.75,28.612465,77.04412,110059,West District
498,Dr Ambedkar Colony,4666.67,28.50521,77.180133,110030,South District
499,Govindpura Old,6112.91,28.645439,77.285121,110051,East District
500,Hailey Road,43243.24,28.624778,77.224403,110001,New Delhi District
501,Katwaria Sarai,8125,28.539874,77.188008,110016,South District
502,Masjid Moth Village,7000,28.561161,77.217187,110049,South District
503,Masoodpur,14629.63,28.52691,77.154162,110070,New Delhi District
504,Maya Enclave,8771.65,28.618855,77.108939,110064,West District
505,New Layal Pur,5000,28.674808,77.267115,110053,North East District
506,Peeragarhi Village,592.07,28.6764,77.0906,110087,West District
507,Rajiv Chowk,11000,28.631606,77.219275,110001,New Delhi District
508,Residential Floorsector,13137.79,28.610071,77.20741,110001,New Delhi District
509,Sarojini Nagar,4526.75,28.575688,77.195757,110023,South District
510,Sector 18,11183.57,28.740602,77.137224,110089,North District
511,Sector 8B,13240.74,28.612632,77.328481,110096,East District
512,Shreshtha Vihar,12444.44,28.658515,77.318579,110092,Shahdara District
513,Shyam Enclave,5555.56,28.654006,77.305415,110092,Shahdara District
514,Surhera,4300,28.595728,76.941202,110043,South West District
515,Vishal Enclave,3724.14,28.650382,77.118619,110027,West District
516,82 Sector 22 Road,5462.17,28.716836,77.061268,110086,North West District
517,85 Sector 22 Road,5720,28.716664,77.060184,110086,North West District
518,Akshardham,23171.14,28.612332,77.27833,110092,East District
519,Ambica Vihar,9615.38,28.665092,77.080354,110087,West District
520,Ashirwad,8750,28.622128,77.058429,110059,West District
521,Azad Apartments,25000,28.542398,77.20163,110016,South District
522,Baldev Park East,7812.5,28.647966,77.288968,110051,East District
523,Bees Sutri Harijan Basti,1583.33,28.50522,77.197623,110062,South District
524,Ber Sarai,18750,28.549408,77.180933,110016,New Delhi District
525,Cd Block Dakshini Pitampura,25000,28.69176,77.120353,110034,North West District
526,Dcm School Marg,6478.21,28.649656,77.164196,110008,West District
527,Devli Extention,2430.56,28.503704,77.23216,110062,South District
528,Devli Extention Deoli Gaon Nai Basti,3143.6,28.505528,77.234013,110062,South District
529,Dlf City Phase 3 Road,315.83,28.625797,77.054035,110059,West District
530,Ghitorni Village South Delhi,17500,28.492572,77.145379,110030,New Delhi District
531,Gt Road,1441.49,28.692501,77.190382,110033,North District
532,Gulab Bagh,566.67,28.636365,77.285144,110092,East District
533,Igi Airport,4826.07,28.555013,77.08437,110037,New Delhi District
534,Jasola Sector 8,10833.33,28.544643,77.296658,110025,South East Delhi District
535,Kalkaji Flyover,12534.18,28.541421,77.255747,110019,South East Delhi District
536,Kalyan Puri Road,4920.63,28.614998,77.313103,110091,East District
537,Keshavpuram,8333.33,28.688039,77.16071,110035,North West District
538,Khushi Ram Park Param Puri,5000,28.616921,77.051712,110059,West District
539,Kishangarh Village New Delhi,5617.98,28.632694,77.21966,,New Delhi District
540,Lodhi Colony,12000,28.583717,77.224496,110003,South East Delhi District
541,Manglapuri Village,36638.98,28.588744,77.087511,110045,South West District
542,Mathura Road,13750,28.612238,77.240035,110001,New Delhi District
543,Mayur Vihar Pocket F,47435.48,28.680359,77.317982,110095,Shahdara District
544,Mianwali Nagar Peera Garhi,10400,28.679509,77.096072,110056,West District
545,Mirpur Turk,4483.43,28.706748,77.265361,110094,North East District
546,Moti Bagh South,4545.45,28.58055,77.1726,110021,New Delhi District
547,Munirka Flyover,10296.3,28.553441,77.174918,110067,New Delhi District
548,Munirka Marg,11273.33,28.553441,77.174918,110067,New Delhi District
549,Pant Nagar,3264.76,28.585639,77.243685,110014,South East Delhi District
550,Pind Wala Khurd Village,65573.77,28.559322,76.97115,110043,South West District
551,Pocket 7 Sector D,11764.71,28.529379,77.146218,110070,South District
552,Pocket 8 Sector C,16666.67,28.537006,77.141515,110070,South District
553,Pratap Khand,6209.15,28.672288,77.30823,110095,Shahdara District
554,Sadh Nagar Palam Colony,3823.53,28.591095,77.0938,110045,South West District
555,Sandesh Vihar,18518.52,28.691363,77.141998,110034,North West District
556,Sector 108,5624.3,28.855418,77.096334,110040,North District
557,Sector 16A Dwarka,6269.59,28.611972,77.018489,110078,South West District
558,Sector 5,8758.77,28.52352,77.224102,110017,South District
559,Sector 7,9485.71,28.530248,77.227821,110017,South District
560,Sector B Pocket 10,1947.62,28.532418,77.153659,110070,South District
561,Sector17 Rohini,7995.09,28.721034,77.073372,110086,North West District
562,Shaheen Bagh New Delhi,4896.42,28.544888,77.302624,110025,South East Delhi District
563,Vrindavan Road,4468.12,28.441348,77.205875,110074,South District
564,West Enclave,10752.68,28.628375,77.074996,,West District
565,Yamuna Road,10505.63,28.67182,77.227706,110006,Central District
566,Delhi Cantt,527.04,28.596475,77.13247,110010,New Delhi District
567,102 Sector 21 Road,3389.42,28.712744,77.069416,110086,North West District
568,127 Sector 23 Road,13745.7,28.720863,77.078379,110085,North West District
569,91 Sector 23 Road,41.07,28.720863,77.078379,110085,North West District
570,Abul Fazal Enclave Part 2 New Delhi,4555.56,28.549208,77.299861,110025,South East Delhi District
571,Akshardham Road,20340.95,28.612332,77.27833,110092,East District
572,Antriksh Bhawan,3542.37,28.62872,77.222853,110001,New Delhi District
573,Block Jp Poorvi Pitampura,9988.01,28.702802,77.14598,110034,North West District
574,Block Uu Uttari Pitampura,7781.65,28.705857,77.13941,110034,North West District
575,Chirag Dilli,3500,28.538589,77.228025,110017,South District
576,Commercial Shop Karol Bagh,16650,28.652979,77.192229,110005,Central District
577,Commonwealth Games Village,15476.19,28.615,77.273474,110092,East District
578,E Block Preet Vihar,13263.42,28.638923,77.297743,110092,East District
579,Experion Heartsong,6303.13,28.596475,77.13247,110010,New Delhi District
580,Gulabhi Bagh Om Vihar,3600,28.626044,77.05264,110059,West District
581,Jammu Delhi Road,6250,28.627874,77.252394,110013,Central District
582,Janakpuri B1 Market,9444.44,28.628996,77.091333,110058,West District
