,AreaName,District,PinCode,Longitude,Latitude,Cluster,1st most common venue,2nd most common venue,3rd most common venue,4th most common venue,5th most common venue
353,Pocket 9 Sector B,New Delhi District,110070,77.152256,28.531719,3,Café,Arcade,Thai Restaurant,Clothing Store,Fabric Shop
354,Sector B Pocket 10,South District,110070,77.153659,28.532418,3,Café,Arcade,Thai Restaurant,Clothing Store,Fabric Shop
355,Paryatan Vihar,East District,110096,77.313833,28.600932,3,Café,Bakery,Market,Gym,Yoga Studio
356,New Rajendra Nagar,Central District,110060,77.17996,28.636315000000003,3,Café,Bed & Breakfast,Arcade,Market,Sporting Goods Shop
357,Sector 4 Dwarka,West District,110078,77.048068,28.602437,3,Café,Chinese Restaurant,Nightclub,Yoga Studio,Food Truck
358,Sector-7 Rohini,North West District,110085,77.118426,28.708924,3,Café,Chinese Restaurant,Yoga Studio,Football Stadium,Food Truck
359,Geetanjali Enclave,South District,110017,77.201991,28.530190999999995,3,Café,Coffee Shop,Juice Bar,Metro Station,Yoga Studio
360,Nelson Mandela Marg,New Delhi District,110067,77.16635900000001,28.55343,3,Café,College Cafeteria,Restaurant,Spa,Coffee Shop
361,Meera Bagh,West District,110087,77.089295,28.658887000000004,3,Café,Convenience Store,Tourist Information Center,Yoga Studio,Food Truck
362,Janakpuri B1 Market,West District,110058,77.091333,28.628996,3,Café,Department Store,Farmers Market,Gym,Fabric Shop
363,Niti Bagh,South District,110049,77.215324,28.558990999999995,3,Café,Dessert Shop,Park,Metro Station,Music Venue
364,Ishwar Nagar,South East Delhi District,110065,77.26795599999997,28.559345000000004,3,Café,Hotel,Middle Eastern Restaurant,Fast Food Restaurant,Indian Restaurant
365,Navjeevan Vihar,South District,110017,77.199801,28.533019000000003,3,Café,Hotel,Pub,Golf Course,Restaurant
366,Nawada Sainik Nagar,West District,110059,77.041746,28.616509,3,Café,IT Services,Yoga Studio,Football Stadium,Food Truck
367,Antriksh Bhawan,New Delhi District,110001,77.222853,28.628719999999998,3,Café,Indian Restaurant,Bistro,Fast Food Restaurant,Beer Garden
368,New Friends Colony,South East Delhi District,110025,77.27041000000001,28.565556000000008,3,Café,Indian Restaurant,Hotel,Pizza Place,Chinese Restaurant
369,Lajpat Nagar Ii,South East Delhi District,110024,77.242302,28.569780999999992,3,Café,Indian Restaurant,Market,Fast Food Restaurant,Donut Shop
370,Police Lines,North District,110009,77.202464,28.697125,3,Café,Light Rail Station,Restaurant,North Indian Restaurant,Chinese Restaurant
371,Masjid Moth Village,South District,110049,77.21718699999998,28.561161,3,Café,Metro Station,Shopping Mall,Park,Market
372,Anand Lok,South District,110049,77.218116,28.557200999999996,3,Café,Other Great Outdoors,Hotel,Dessert Shop,Golf Course
373,Residential Flat Pocket A,South East Delhi District,110076,77.288388,28.534737,3,Café,Pizza Place,Breakfast Spot,Cricket Ground,Food Truck
374,Hastsal,West District,110059,77.060879,28.636428999999996,3,Café,Pizza Place,Park,Fast Food Restaurant,Market
375,Lig Flats,West District,110059,77.06070999999999,28.634795,3,Café,Pizza Place,Park,Fast Food Restaurant,Market
376,Madangir,South District,110062,77.228583,28.519654,3,Café,Plaza,Flea Market,Pharmacy,Yoga Studio
377,Chattarpur Enclave Phase 2,South District,110074,77.187847,28.500421,3,Café,Pub,Resort,Yoga Studio,Food Court
378,Hari Nagar,West District,110064,77.111014,28.624511,3,Café,Snack Place,Arcade,Yoga Studio,Football Stadium
379,Sector C Vasant Kunj,South District,110070,77.14597200000001,28.534377000000003,3,Café,Spa,BBQ Joint,Park,Gastropub
380,Ramesh Nagar,West District,110015,77.130681,28.649317999999997,3,Chinese Restaurant,Pizza Place,Metro Station,Dessert Shop,Indian Restaurant
381,Ber Sarai,New Delhi District,110016,77.180933,28.549408,3,Clothing Store,Shopping Mall,Airport Food Court,Hotel,Fast Food Restaurant
382,Igi Airport,New Delhi District,110037,77.08437000000002,28.555013000000002,3,Coffee Shop,Airport Lounge,Airport Service,Café,Smoke Shop
383,Shahpur Jat,South District,110049,77.21040700000002,28.549127,3,Coffee Shop,Arcade,Bar,Australian Restaurant,Chinese Restaurant
384,Kamla Nagar,Central District,110007,77.20362700000001,28.682824999999994,3,Coffee Shop,Café,Breakfast Spot,Fast Food Restaurant,Chinese Restaurant
385,Guru Angad Nagar,South East Delhi District,110019,77.25394600000003,28.549345000000006,3,Coffee Shop,Food,Fast Food Restaurant,Convenience Store,Donut Shop
386,Paryavaran Complex,South District,110068,77.203128,28.516060000000003,3,Coffee Shop,Indian Restaurant,Mediterranean Restaurant,Asian Restaurant,Pub
387,Paryavaran Complex Main,South District,110068,77.203128,28.516060000000003,3,Coffee Shop,Indian Restaurant,Mediterranean Restaurant,Asian Restaurant,Pub
388,South Extension 2,South East Delhi District,110049,77.22091500000002,28.566667999999996,3,Coffee Shop,Indian Restaurant,Pizza Place,Market,Bakery
389,Saiyad Ul Ajaib Village,South District,110030,77.200847,28.518080000000005,3,Coffee Shop,Indian Restaurant,Restaurant,Bakery,Café
390,Malviya Nagar,South District,110017,77.210245,28.534883,3,Coffee Shop,Pizza Place,Chinese Restaurant,Sandwich Place,Miscellaneous Shop
391,Shivalik,South District,110017,77.20652500000003,28.53229800000001,3,Coffee Shop,Pizza Place,Italian Restaurant,Café,Bookstore
